Subject,CondNumber,corr_resp,Stimulus.ACC,Stimulus.RESP,Stimulus.RT,target,preview1,preview3
1,1,1,1,1,1013,++R++,+++++,+++++
1,9,5,1,5,467,EEAEE,+++++,++e++
1,7,5,1,5,467,++A++,+++++,++n++
1,6,5,0,1,752,++E++,+++++,++a++
1,9,1,1,1,1033,RRNRR,+++++,++r++
1,4,1,1,1,721,EENEE,+++++,+++++
1,16,1,1,1,612,AANAA,++a++,++a++
1,13,1,1,1,752,++R++,++a++,++a++
1,14,1,1,1,795,NNNNN,++n++,++n++
1,13,5,1,5,956,++A++,++r++,++r++
1,1,5,1,5,876,++A++,+++++,+++++
1,2,1,1,1,620,RRRRR,+++++,+++++
1,13,5,1,5,634,++A++,++n++,++n++
1,8,1,1,1,470,RRRRR,+++++,++r++
1,1,5,1,5,1146,++A++,+++++,+++++
1,14,5,1,5,395,AAAAA,++a++,++a++
1,7,5,0,1,525,++E++,+++++,++n++
1,13,1,1,1,525,++R++,++e++,++e++
1,16,5,1,5,1106,RRARR,++r++,++r++
1,16,5,1,5,1489,NNENN,++n++,++n++
1,7,5,1,5,1001,++A++,+++++,++r++
1,4,5,1,5,862,RRARR,+++++,+++++
1,11,1,1,1,540,++N++,++n++,++n++
1,15,5,1,5,544,AAEAA,++a++,++a++
1,1,1,1,1,499,++N++,+++++,+++++
1,1,1,1,1,620,++R++,+++++,+++++
1,10,1,1,1,782,AANAA,+++++,++a++
1,12,5,1,5,558,++A++,++e++,++e++
1,14,5,1,5,561,EEEEE,++e++,++e++
1,2,1,1,1,584,NNNNN,+++++,+++++
1,15,1,1,1,557,RRNRR,++r++,++r++
1,5,1,1,1,599,++N++,+++++,++n++
1,3,1,1,1,529,RRNRR,+++++,+++++
1,1,5,0,1,493,++A++,+++++,+++++
1,3,5,1,5,764,AAEAA,+++++,+++++
1,14,1,0,5,581,RRRRR,++r++,++r++
1,10,5,1,5,1047,NNANN,+++++,++n++
1,1,1,1,1,795,++R++,+++++,+++++
1,4,1,1,1,1391,AARAA,+++++,+++++
1,13,5,1,5,571,++E++,++r++,++r++
1,1,1,1,1,1231,++N++,+++++,+++++
1,10,5,1,5,705,NNENN,+++++,++n++
1,11,5,1,5,433,++E++,++e++,++e++
1,16,1,1,1,668,AARAA,++a++,++a++
1,7,1,1,1,749,++N++,+++++,++e++
1,11,5,1,5,324,++A++,++a++,++a++
1,12,1,1,1,768,++R++,++n++,++n++
1,7,1,1,1,821,++N++,+++++,++a++
1,4,5,1,5,548,NNANN,+++++,+++++
1,12,5,1,5,810,++E++,++a++,++a++
1,2,5,1,5,649,EEEEE,+++++,+++++
1,10,1,1,1,577,EENEE,+++++,++e++
1,16,1,1,1,559,EEREE,++e++,++e++
1,9,5,1,5,493,AAEAA,+++++,++a++
1,8,5,1,5,475,EEEEE,+++++,++e++
1,1,5,1,5,834,++E++,+++++,+++++
1,1,5,1,5,672,++E++,+++++,+++++
1,4,5,1,5,550,NNENN,+++++,+++++
1,7,5,1,5,428,++E++,+++++,++r++
1,10,1,1,1,891,AARAA,+++++,++a++
1,13,1,1,1,511,++N++,++e++,++e++
1,16,5,1,5,538,RRERR,++r++,++r++
1,2,5,1,5,616,AAAAA,+++++,+++++
1,1,5,1,5,1078,++E++,+++++,+++++
1,4,5,1,5,660,RRERR,+++++,+++++
1,6,5,1,5,432,++A++,+++++,++e++
1,15,5,1,5,615,EEAEE,++e++,++e++
1,4,1,1,1,715,EEREE,+++++,+++++
1,7,1,1,1,632,++R++,+++++,++e++
1,1,1,1,1,576,++N++,+++++,+++++
1,5,5,1,5,503,++A++,+++++,++a++
1,1,1,1,1,595,++N++,+++++,+++++
1,10,1,1,1,1064,EEREE,+++++,++e++
1,5,1,1,1,1109,++R++,+++++,++r++
1,7,1,1,1,678,++R++,+++++,++a++
1,8,1,1,1,689,NNNNN,+++++,++n++
1,1,5,1,5,613,++A++,+++++,+++++
1,16,1,1,1,617,EENEE,++e++,++e++
1,6,1,1,1,1227,++R++,+++++,++n++
1,6,1,1,1,708,++N++,+++++,++r++
1,3,1,0,5,581,NNRNN,+++++,+++++
1,3,5,1,5,649,EEAEE,+++++,+++++
1,15,1,1,1,625,NNRNN,++n++,++n++
1,16,5,1,5,585,NNANN,++n++,++n++
1,8,5,1,5,589,AAAAA,+++++,++a++
1,1,1,1,1,1320,++R++,+++++,+++++
1,14,5,1,5,395,AAAAA,++a++,++a++
1,4,1,1,1,626,AARAA,+++++,+++++
1,9,5,1,5,565,EEAEE,+++++,++e++
1,13,5,1,5,649,++E++,++r++,++r++
1,3,1,1,1,699,NNRNN,+++++,+++++
1,16,5,1,5,521,NNENN,++n++,++n++
1,6,5,1,5,494,++A++,+++++,++e++
1,4,1,1,1,1260,EENEE,+++++,+++++
1,2,1,1,1,610,RRRRR,+++++,+++++
1,4,5,1,5,715,RRARR,+++++,+++++
1,7,1,1,1,605,++R++,+++++,++a++
1,1,5,1,5,497,++A++,+++++,+++++
1,13,5,1,5,430,++A++,++n++,++n++
1,10,1,1,1,718,AANAA,+++++,++a++
1,10,5,1,5,778,NNENN,+++++,++n++
1,1,5,1,5,880,++E++,+++++,+++++
1,11,1,1,1,568,++R++,++r++,++r++
1,16,5,1,5,462,RRERR,++r++,++r++
1,1,5,1,5,825,++A++,+++++,+++++
1,4,1,1,1,569,AANAA,+++++,+++++
1,8,5,1,5,452,AAAAA,+++++,++a++
1,1,1,1,1,722,++R++,+++++,+++++
1,15,5,1,5,814,EEAEE,++e++,++e++
1,14,1,1,1,538,RRRRR,++r++,++r++
1,7,5,1,5,526,++A++,+++++,++r++
1,10,1,1,1,552,EENEE,+++++,++e++
1,15,1,1,1,515,RRNRR,++r++,++r++
1,6,1,1,1,930,++N++,+++++,++r++
1,1,1,1,1,573,++R++,+++++,+++++
1,12,5,1,5,519,++E++,++a++,++a++
1,10,5,1,5,765,NNANN,+++++,++n++
1,6,1,1,1,684,++R++,+++++,++n++
1,5,5,1,5,583,++A++,+++++,++a++
1,7,1,1,1,573,++R++,+++++,++e++
1,16,1,1,1,501,EENEE,++e++,++e++
1,8,1,1,1,605,NNNNN,+++++,++n++
1,12,1,1,1,777,++N++,++r++,++r++
1,13,1,1,1,493,++N++,++a++,++a++
1,10,5,1,5,590,RRERR,+++++,++r++
1,1,5,1,5,1072,++E++,+++++,+++++
1,3,5,1,5,535,EEAEE,+++++,+++++
1,10,5,1,5,833,RRARR,+++++,++r++
1,12,1,1,1,526,++R++,++n++,++n++
1,11,5,1,5,632,++A++,++a++,++a++
1,1,1,1,1,771,++R++,+++++,+++++
1,16,5,1,5,468,RRARR,++r++,++r++
1,14,1,1,1,597,NNNNN,++n++,++n++
1,8,1,1,1,739,RRRRR,+++++,++r++
1,5,1,1,1,605,++R++,+++++,++r++
1,1,1,1,1,936,++N++,+++++,+++++
1,4,5,1,5,691,RRERR,+++++,+++++
1,1,5,0,1,508,++A++,+++++,+++++
1,9,1,1,1,828,NNRNN,+++++,++n++
1,15,1,1,1,859,NNRNN,++n++,++n++
1,12,5,1,5,368,++A++,++e++,++e++
1,10,1,1,1,642,EEREE,+++++,++e++
1,7,5,1,5,749,++E++,+++++,++n++
1,4,5,1,5,609,NNANN,+++++,+++++
1,4,1,1,1,854,EEREE,+++++,+++++
1,7,5,1,5,502,++E++,+++++,++r++
1,1,5,1,5,986,++E++,+++++,+++++
1,1,1,1,1,573,++R++,+++++,+++++
1,6,5,1,5,565,++E++,+++++,++a++
1,4,5,1,5,1067,NNENN,+++++,+++++
1,16,5,1,5,517,NNANN,++n++,++n++
1,1,5,1,5,505,++E++,+++++,+++++
1,7,5,1,5,633,++A++,+++++,++n++
1,11,5,1,5,684,++E++,++e++,++e++
1,8,5,1,5,499,EEEEE,+++++,++e++
1,1,1,1,1,531,++N++,+++++,+++++
1,5,1,1,1,602,++N++,+++++,++n++
1,3,5,1,5,875,AAEAA,+++++,+++++
1,14,5,1,5,391,EEEEE,++e++,++e++
1,9,1,1,1,575,RRNRR,+++++,++r++
1,13,1,1,1,570,++R++,++e++,++e++
1,2,1,1,1,719,NNNNN,+++++,+++++
