"subject","group","hostname","word","list_type","list_length","class","rating","old_new","acc","credit","lab"
100,"old","cMAPLab-Behav","fossils","semantic",2,"target",6,"old",1,"n","n"
100,"old","cMAPLab-Behav","west","phonetic",2,"critical",2,"new",1,"n","n"
100,"old","cMAPLab-Behav","convenience","semantic",0,"lure",2,"new",1,"n","n"
100,"old","cMAPLab-Behav","underworld","semantic",2,"related",1,"new",1,"n","n"
100,"old","cMAPLab-Behav","bagel","semantic",0,"lure",1,"new",1,"n","n"
100,"old","cMAPLab-Behav","artifacts","semantic",2,"related",3,"new",1,"n","n"
100,"old","cMAPLab-Behav","hat","phonetic",2,"related",3,"new",1,"n","n"
100,"old","cMAPLab-Behav","went","phonetic",2,"target",2,"new",0,"n","n"
100,"old","cMAPLab-Behav","toon","phonetic",2,"related",2,"new",1,"n","n"
100,"old","cMAPLab-Behav","phantom","semantic",8,"critical",2,"new",1,"n","n"
100,"old","cMAPLab-Behav","six","phonetic",8,"related",1,"new",1,"n","n"
100,"old","cMAPLab-Behav","rubies","semantic",2,"target",6,"old",1,"n","n"
100,"old","cMAPLab-Behav","madman","semantic",8,"target",1,"new",0,"n","n"
100,"old","cMAPLab-Behav","ghoul","semantic",8,"target",5,"old",1,"n","n"
100,"old","cMAPLab-Behav","rest","phonetic",2,"related",3,"new",1,"n","n"
102,"old","cMAPLab-Behav","canvas","semantic",0,"lure",1,"new",1,"n","n"
102,"old","cMAPLab-Behav","bagel","semantic",0,"lure",1,"new",1,"n","n"
102,"old","cMAPLab-Behav","stationer","semantic",0,"lure",1,"new",1,"n","n"
102,"old","cMAPLab-Behav","storeroom","semantic",0,"lure",1,"new",1,"n","n"
102,"old","cMAPLab-Behav","toning","semantic",8,"target",3,"new",0,"n","n"
102,"old","cMAPLab-Behav","goblin","semantic",2,"related",4,"old",0,"n","n"
102,"old","cMAPLab-Behav","whirlwind","semantic",8,"target",6,"old",1,"n","n"
102,"old","cMAPLab-Behav","bison","semantic",0,"lure",4,"old",0,"n","n"
102,"old","cMAPLab-Behav","pyramid","semantic",2,"critical",4,"old",0,"n","n"
102,"old","cMAPLab-Behav","casino","semantic",8,"target",6,"old",1,"n","n"
102,"old","cMAPLab-Behav","perk","phonetic",0,"lure",6,"old",0,"n","n"
102,"old","cMAPLab-Behav","linguistics","semantic",0,"lure",1,"new",1,"n","n"
102,"old","cMAPLab-Behav","aerobics","semantic",8,"target",6,"old",1,"n","n"
102,"old","cMAPLab-Behav","holdup","semantic",8,"related",6,"old",0,"n","n"
102,"old","cMAPLab-Behav","egyptian","semantic",2,"related",3,"new",1,"n","n"
102,"old","cMAPLab-Behav","mire","phonetic",2,"critical",5,"old",0,"n","n"
102,"old","cMAPLab-Behav","rattle","semantic",8,"target",6,"old",1,"n","n"
102,"old","cMAPLab-Behav","poker","semantic",8,"target",6,"old",1,"n","n"
102,"old","cMAPLab-Behav","peal","phonetic",8,"related",1,"new",1,"n","n"
102,"old","cMAPLab-Behav","demented","semantic",2,"related",1,"new",1,"n","n"
102,"old","cMAPLab-Behav","skeletons","semantic",2,"target",6,"old",1,"n","n"
102,"old","cMAPLab-Behav","pat","phonetic",2,"related",1,"new",1,"n","n"
102,"old","cMAPLab-Behav","reptiles","semantic",2,"related",5,"old",0,"n","n"
102,"old","cMAPLab-Behav","null","phonetic",0,"lure",6,"old",0,"n","n"
102,"old","cMAPLab-Behav","sable","semantic",0,"lure",6,"old",0,"n","n"
102,"old","cMAPLab-Behav","glaciers","semantic",2,"target",6,"old",1,"n","n"
102,"old","cMAPLab-Behav","cam","phonetic",2,"related",1,"new",1,"n","n"
102,"old","cMAPLab-Behav","role","phonetic",2,"critical",3,"new",1,"n","n"
102,"old","cMAPLab-Behav","hip","phonetic",2,"related",1,"new",1,"n","n"
102,"old","cMAPLab-Behav","coin","phonetic",0,"lure",1,"new",1,"n","n"
102,"old","cMAPLab-Behav","seal","phonetic",8,"target",6,"old",1,"n","n"
102,"old","cMAPLab-Behav","maniac","semantic",2,"related",6,"old",0,"n","n"
102,"old","cMAPLab-Behav","cot","phonetic",2,"related",1,"new",1,"n","n"
102,"old","cMAPLab-Behav","toy","phonetic",0,"lure",4,"old",0,"n","n"
102,"old","cMAPLab-Behav","bus","phonetic",8,"related",1,"new",1,"n","n"
102,"old","cMAPLab-Behav","nutrition","semantic",8,"related",1,"new",1,"n","n"
102,"old","cMAPLab-Behav","psychotic","semantic",2,"target",6,"old",1,"n","n"
102,"old","cMAPLab-Behav","sorcerer","semantic",2,"related",1,"new",1,"n","n"
102,"old","cMAPLab-Behav","triangular","semantic",2,"target",6,"old",1,"n","n"
102,"old","cMAPLab-Behav","sole","phonetic",2,"related",6,"old",0,"n","n"
102,"old","cMAPLab-Behav","bookie","semantic",8,"related",6,"old",0,"n","n"
102,"old","cMAPLab-Behav","cradle","semantic",8,"target",6,"old",1,"n","n"
102,"old","cMAPLab-Behav","antiquity","semantic",0,"lure",5,"old",0,"n","n"
102,"old","cMAPLab-Behav","schoolyard","semantic",0,"lure",5,"old",0,"n","n"
102,"old","cMAPLab-Behav","tribesman","semantic",0,"lure",4,"old",0,"n","n"
102,"old","cMAPLab-Behav","mice","phonetic",2,"related",2,"new",1,"n","n"
102,"old","cMAPLab-Behav","now","phonetic",0,"lure",2,"new",1,"n","n"
102,"old","cMAPLab-Behav","fur","phonetic",0,"lure",2,"new",1,"n","n"
102,"old","cMAPLab-Behav","asylum","semantic",2,"target",6,"old",1,"n","n"
102,"old","cMAPLab-Behav","joy","phonetic",0,"lure",5,"old",0,"n","n"
102,"old","cMAPLab-Behav","noon","phonetic",8,"target",6,"old",1,"n","n"
102,"old","cMAPLab-Behav","scissors","semantic",0,"lure",5,"old",0,"n","n"
102,"old","cMAPLab-Behav","dachshund","semantic",0,"lure",4,"old",0,"n","n"
102,"old","cMAPLab-Behav","date","phonetic",8,"related",2,"new",1,"n","n"
102,"old","cMAPLab-Behav","top","phonetic",2,"related",4,"old",0,"n","n"
102,"old","cMAPLab-Behav","tombs","semantic",2,"target",3,"new",0,"n","n"
102,"old","cMAPLab-Behav","loud","phonetic",0,"lure",6,"old",0,"n","n"
102,"old","cMAPLab-Behav","welt","phonetic",8,"related",1,"new",1,"n","n"
102,"old","cMAPLab-Behav","lunatic","semantic",2,"critical",6,"old",0,"n","n"
102,"old","cMAPLab-Behav","teal","phonetic",8,"critical",4,"old",0,"n","n"
102,"old","cMAPLab-Behav","biologist","semantic",0,"lure",4,"old",0,"n","n"
102,"old","cMAPLab-Behav","highchair","semantic",8,"related",4,"old",0,"n","n"
