"S","ID","Age","CL_P_2","RL_P_2","T_P_2","CL_S_2","RL_S_2","T_S_2","CL_P_8","RL_P_8","T_P_8","CL_S_8","RL_S_8","T_S_8","k"
11,38,0,1.15942488561983,0.143293006231016,2.93071819790943,0.450920508715275,1.08605604105261,2.58177323057922,1.62348624156799,0.143293006231016,2.93071819790943,2.04434303006384,0.737111073722401,3.52453626540081,1.83391463581591
12,39,0,2.07611955706306,0.595926321726083,3.38335151340449,0.903553824210342,1.18974438921747,3.97716958089588,1.6120582011149,1.18974438921747,3.97716958089588,0.903553824210342,0.595926321726083,3.38335151340449,2.28654795131098
13,40,0,0.450920508715275,1.08605604105261,2.30670375680818,0.450920508715275,0.143293006231016,2.30670375680818,1.15942488561983,0.737111073722401,2.58177323057922,1.15942488561983,0.143293006231016,2.58177323057922,1.83391463581591
14,41,0,1.20975067502304,0.672320474507666,3.11080069885587,0.0371849421703294,-0.27044256031393,3.11080069885587,1.20975067502304,0.672320474507666,2.51698263136448,0.745689319074886,-0.27044256031393,2.51698263136448,1.42017906927097
15,42,0,0.918729067826969,-0.0974028115618475,3.28384044760795,1.38279042377513,0.496415255929537,3.28384044760795,0.918729067826969,0.496415255929537,3.28384044760795,0.210224690922411,-0.0974028115618475,2.34107741278635,1.59321881802305
16,43,0,-0.0371849421703305,-0.323375507177455,0.27044256031393,-0.745689319074887,-0.947389948278701,-1.42017906927097,-0.0371849421703305,0.27044256031393,0.27044256031393,-0.745689319074887,-0.947389948278701,-0.323375507177455,-1.42017906927097
17,44,0,0.850133849283501,-0.0362413185620873,2.15736580562494,-0.322431883569213,-0.630059386053472,2.75118387311632,0.850133849283501,0.587773122539159,2.75118387311632,1.73505199372751,0.587773122539159,2.75118387311632,1.06056224353143
18,45,0,1.15942488561983,0.737111073722401,2.58177323057922,0.450920508715275,0.143293006231016,3.52453626540081,1.15942488561983,1.08605604105261,3.52453626540081,1.15942488561983,0.143293006231016,3.52453626540081,1.83391463581591
19,46,0,1.15942488561983,0.143293006231016,2.30670375680818,0.450920508715275,0.143293006231016,2.30670375680818,2.508404386012,1.60403051823668,2.93071819790943,1.15942488561983,1.36112551482365,2.30670375680818,1.83391463581591
20,47,0,-0.101442561556038,0.184748003451087,2.37835512763811,-0.101442561556038,0.184748003451087,2.9721731951295,1.07112317129668,0.533692970781299,2.37835512763811,1.95604131574068,1.05166744796537,2.9721731951295,1.2815515655446
