"S","ID","Age","CL_P_2","RL_P_2","T_P_2","CL_S_2","RL_S_2","T_S_2","CL_P_8","RL_P_8","T_P_8","CL_S_8","RL_S_8","T_S_8","kp","ks"
94,123,1,0.59775826954664,0.290130767062381,2.72861099141058,0.59775826954664,0.290130767062381,2.45354151763955,2.26417730487975,1.30589031586852,1.82386479305259,0.670754783531184,0.363127281046925,2.52653803162409,1.98075239664728,2.05374891063182
95,124,1,0.505271367415779,-0.510860511973037,2.87038274719676,0.505271367415779,0.0829575555183468,1.65255023860413,-0.467629039257825,-0.775256541742084,1.14524920542205,0.240875337646732,-0.181438474250699,1.38815420883508,1.17976111761186,0.915365087842814
96,125,1,0.59775826954664,1.23289380188398,3.07755595874079,0.59775826954664,0.290130767062381,3.07755595874079,1.37925916043574,0.956945348538309,3.15055247272534,1.37925916043574,1.30589031586852,2.80160750539512,1.98075239664728,2.05374891063182
97,126,1,0.29293181590562,-0.129381995991812,2.06422512819521,0.29293181590562,-0.129381995991812,1.715280160865,1.8433205163839,0.956945348538309,2.80160750539512,2.26417730487975,1.58095978963956,2.52653803162409,0.967421566101701,2.05374891063182
98,127,1,-0.203233009488778,0.431902522848558,1.65255023860413,0.505271367415779,0.706971996619593,1.92761971237516,1.34434520034893,0.806914999833551,2.30263218936016,0.880283844400771,-0.135848034988045,3.24539522418175,1.17976111761186,1.55477359459685
99,128,1,0.969332723363936,0.706971996619593,1.92761971237516,0.969332723363936,0.431902522848558,1.40964523519109,0.979970538295479,-0.442377806663905,0.305480788099397,-1.07751333900124,-0.16730833289287,1.0533393828627,1.17976111761186,0.305480788099397
100,129,1,1.2548053984376,0.368430230592009,2.56203735477904,0.790744042489441,0.368430230592009,2.21309238744882,1.95604131574068,0.808762444552334,2.37835512763811,1.49197995979253,0.533692970781299,2.9721731951295,1.46523379268552,1.2815515655446
101,130,0,0.790744042489441,0.368430230592009,3.15585542227042,0.790744042489441,-0.225387836899375,2.21309238744882,1.49197995979253,1.2815515655446,2.9721731951295,0.607061815348519,0.184748003451087,2.9721731951295,1.46523379268552,1.2815515655446
102,131,0,-0.203233009488778,0.431902522848558,2.87038274719676,0.969332723363936,0.706971996619593,2.87038274719676,0.607061815348519,0.808762444552334,2.9721731951295,1.49197995979253,1.05166744796537,2.9721731951295,1.17976111761186,1.2815515655446
103,132,0,0.505271367415779,0.706971996619593,2.27656467970537,-0.203233009488778,0.0829575555183468,2.27656467970537,1.07112317129668,1.05166744796537,2.9721731951295,2.66454569264524,0.184748003451087,2.9721731951295,1.17976111761186,1.2815515655446
104,133,1,-0.0370055892337048,0.637484160962377,1.73428772305589,-0.0370055892337048,-0.459319401131137,1.38534275572568,0.432917011144992,1.11613452638518,1.74014896748643,0.853773799640842,1.11613452638518,2.33396703497782,0.637484160962377,0.643345405392917
105,134,0,0.117148857547293,0.318849486751107,1.88844216983689,-0.591355519357264,-0.305164954350139,1.53949720250668,2.26417730487975,0.363127281046925,3.15055247272534,1.8433205163839,0.956945348538309,3.74437054021672,0.791638607743375,2.05374891063182
106,135,0,-0.203233009488778,-0.510860511973037,2.27656467970537,0.505271367415779,0.0829575555183468,2.27656467970537,0.20203473519348,-1.27815850014349,2.1030847590263,0.20203473519348,-0.335395465321897,1.16032172420471,1.17976111761186,0.412463129441405
107,136,0,0.59775826954664,0.290130767062381,3.67137402623218,0.59775826954664,0.883948834553765,3.07755595874079,2.26417730487975,0.956945348538309,3.74437054021672,1.8433205163839,1.30589031586852,3.74437054021672,1.98075239664728,2.05374891063182
108,137,0,1.2548053984376,0.71737519792222,3.15585542227042,1.2548053984376,-0.225387836899375,3.15585542227042,1.29074773506288,0.850435223235724,2.77094097039985,-0.302674786285683,-0.0164842212785574,2.77094097039985,1.46523379268552,1.08031934081496
109,138,0,0.0822396655848836,0.71737519792222,2.56203735477904,0.790744042489441,0.368430230592009,2.56203735477904,1.49197995979253,0.808762444552334,2.9721731951295,1.07112317129668,0.533692970781299,2.9721731951295,1.46523379268552,1.2815515655446
110,139,0,0.117148857547293,0.561754490164142,1.88844216983689,-0.591355519357264,0.318849486751107,1.88844216983689,0.313972118460116,-0.572403049385473,1.62120407480155,-0.150089237488041,-1.16622111687686,2.21502214229294,0.791638607743375,0.524400512708041
111,140,0,0.59775826954664,0.290130767062381,2.21063651422651,0.59775826954664,0.290130767062381,2.45354151763955,0.670754783531184,0.363127281046925,2.28363302821105,1.37925916043574,0.956945348538309,3.15055247272534,1.98075239664728,2.05374891063182
112,141,0,0.59775826954664,0.290130767062381,2.72861099141058,0.59775826954664,0.290130767062381,2.72861099141058,0.171779467496214,0.806914999833551,3.24539522418175,0.171779467496214,-0.135848034988045,3.24539522418175,1.98075239664728,1.55477359459685
113,142,1,0.915530144082109,-0.855763168207487,0.241040393886027,0.451468788133952,-0.23174872710624,0.470924511465259,0.979970538295479,0.305480788099397,0.53536490567863,0.979970538295479,-0.442377806663905,0.0755966705201653,0.241040393886027,0.305480788099397
114,144,1,-0.59775826954664,-0.29013076706238,-0.29013076706238,-0.59775826954664,-0.29013076706238,-0.29013076706238,-0.670754783531184,-0.363127281046924,-0.363127281046924,-0.670754783531184,-0.363127281046924,-0.363127281046924,-1.98075239664728,-2.05374891063182
115,145,1,0.0822396655848836,-0.225387836899375,3.15585542227042,1.67566218693345,0.368430230592009,2.56203735477904,0.98262160843661,0.542309096609453,1.8689967762822,0.98262160843661,-0.324610347904829,1.24498233518095,1.46523379268552,0.772193214188685
116,146,1,0.59775826954664,0.290130767062381,3.67137402623218,1.3062626464512,0.290130767062381,3.07755595874079,1.37925916043574,0.363127281046925,3.74437054021672,1.37925916043574,0.363127281046925,3.74437054021672,1.98075239664728,2.05374891063182
117,147,0,0.790744042489441,0.368430230592009,2.56203735477904,0.0822396655848836,-0.225387836899375,2.56203735477904,0.880283844400771,1.32488947701762,2.02756271558912,1.76520198884478,0.45797003250334,1.78465771217609,1.46523379268552,1.55477359459685
118,148,1,1.3062626464512,0.290130767062381,3.67137402623218,0.59775826954664,0.883948834553765,3.67137402623218,0.607061815348519,0.184748003451087,2.9721731951295,1.07112317129668,-0.409070064040297,2.37835512763811,1.98075239664728,1.2815515655446
